job_id,title_raw,our_family_code,our_sector,soc_code,soc_title,match_tier,matched_onet_title,job_zone
21a9116b-3f63-46e2-a23f-bc6b0f148a3b,Closing Technician I,utility_public_works,public_safety,,,unmapped,,
5b34e05c-9529-4167-93fa-37da13520712,Closing Technician I,utility_public_works,public_safety,,,unmapped,,
6bc3350a-a6dd-42bf-93a6-3276379ee87a,Closing Technician I,manufacturing_production,manufacturing,,,unmapped,,
b247cf7a-a235-46a1-8e01-e87b440ef834,Closing Technician I,utility_public_works,public_safety,,,unmapped,,
bb4abbec-fa13-4e52-9309-919a5aaedc1f,Closing Technician I,utility_public_works,public_safety,,,unmapped,,
d6bd701e-0751-4811-9b0a-5291cbdc5170,Closing Technician I,utility_public_works,public_safety,,,unmapped,,
89999f2b-0f0a-4fd9-82e8-af4124256812,CNC & Manual Machinist,cnc_machining,manufacturing,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",fuzzy,CNC Machinist,2
7a1ae3c5-44c0-4580-9860-6066b81571a6,CNC Industrial Machine Operator,manufacturing_production,manufacturing,51-9111.00,Packaging and Filling Machine Operators and Tenders,fuzzy,CNC Machine Operator,2
974999f5-bb42-4b84-beaf-cfcc3d1ed010,CNC Machinist - First Shift,cnc_machining,manufacturing,51-4041.00,Machinists,exact,CNC Machinist,3
c7f77a75-17ff-4f06-bfe5-ce51bbf2cc1a,CNC Programmer/Operator,cnc_machining,manufacturing,51-9162.00,Computer Numerically Controlled Tool Programmers,segment,CNC Programmer,2
9cff6f13-1fbe-49bf-ad45-6cfe62e3f347,CNC/EDM Machine Operator,manufacturing_production,manufacturing,51-9111.00,Packaging and Filling Machine Operators and Tenders,fuzzy,CNC Machine Operator,2
5b7de9fd-608f-4751-bf57-ea7f12da966f,Continuous Improvement Leader,electrical,construction,,,unmapped,,
